"MS-DRG","FY09 Proposed Rule Post-Acute DRG","FY09 Proposed Rule Special Pay DRG","MDC","TYPE","MS-DRG Title","DRGandTitle","Weights","Geometric mean LOS","Arithmetic mean LOS"
"001","No","No","PRE","SURG","Heart transplant or implant of heart assist system w MCC","001 - Heart transplant or implant of heart assist system w MCC","23.406127848600001","29.135364743499998","40.210687022899997"
"002","No","No","PRE","SURG","Heart transplant or implant of heart assist system w/o MCC","002 - Heart transplant or implant of heart assist system w/o MCC","12.895633820400001","18.409793480600001","24.7456445993"
"003","Yes","No","PRE","SURG","ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R.","003 - ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R.","18.3634898703","32.538041281399998","39.646013883499997"
"004","Yes","No","PRE","SURG","Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R.","004 - Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R.","11.168404237000001","23.508025300500002","28.847250317499999"
"005","No","No","PRE","SURG","Liver transplant w MCC or intestinal transplant","005 - Liver transplant w MCC or intestinal transplant","10.74356384","15.886649910999999","21.189274447900001"
"006","No","No","PRE","SURG","Liver transplant w/o MCC","006 - Liver transplant w/o MCC","4.8291974787000003","8.9306100363999992","10.245614035099999"
"007","No","No","PRE","SURG","Lung transplant","007 - Lung transplant","9.7324819211999998","15.9437533273","19.651685393299999"
"008","No","No","PRE","SURG","Simultaneous pancreas/kidney transplant","008 - Simultaneous pancreas/kidney transplant","4.8917180013000001","10.117379059499999","11.9190871369"
"009","No","No","PRE","SURG","Bone marrow transplant","009 - Bone marrow transplant","6.6398110079999997","18.185299901499999","21.942007434899999"
"010","No","No","PRE","SURG","Pancreas transplant","010 - Pancreas transplant","3.7507640997","9.1056291801999993","10.779141104300001"
"011","No","No","PRE","SURG","Tracheostomy for face,mouth & neck diagnoses w MCC","011 - Tracheostomy for face,mouth & neck diagnoses w MCC","4.8900380596000002","13.108927077300001","16.730221519000001"
"012","No","No","PRE","SURG","Tracheostomy for face,mouth & neck diagnoses w CC","012 - Tracheostomy for face,mouth & neck diagnoses w CC","3.0562543794999999","8.8580887496000003","10.6754063975"
