cpt code  Major Category                                    Minor category                                    CPT description
95909     Medicine                                          Neurology                                         95909 Motor&/sens 5-6 nrv cndj tst
G0416     HCPCS Codes                                       Temporary Codes                                   G0416 Sat biopsy 10-20
70355     Radiology                                         Head/Neck/Chest                                   70355 Panoramic X-Ray of Jaws 
27096     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27096 Injection Procedure for Sacroiliac Joint
97113     Medicine                                          Other                                             97113 Aquatic Therapy/Exercises 
01810     Anesthesia                                        Anesthesia                                        01810 Anesth, Lower Arm Surgery 
74160     Radiology                                         Abdomen/GI/Urinary                                74160 Contrast CAT Scan of Abdomen 
92285     Medicine                                          Ophthalmology                                     92285 Eye Photography 
J1100     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J1100 Dexamethasone sodium phos
87086     Pathology                                         Microbiology                                      87086 Urine Culture, Colony Count 
Q2035     HCPCS Codes                                       Temporary Codes                                   Q2035 Afluria vacc, 3 yrs & >, im
83735     Pathology                                         Chemistry                                         83735 Assay Magnesium 
74246     Radiology                                         Abdomen/GI/Urinary                                74246 Contrast X-Ray Upper GI Tract 
82947     Pathology                                         Chemistry                                         82947 Assay Quantitative, Glucose 
80156     Pathology                                         Pathology                                         80156 Assay Carbamazepine 
93892     Medicine                                          Non-Invasive Vascular and Diagnostic              93892 Tcd, emboli detect w/o inj
86255     Pathology                                         Immunology                                        86255 Fluorescent Antibody; Screen 
77001     Radiology                                         Unknown                                           77001 Fluoroguide for vein device
29130     Surgery                                           Muscuoskeletal - Casts/Strapping                  29130 Application of Finger Splint 
33208     Surgery                                           Cardiovascular - Heart/Pericardum                 33208 Insertion of Heart Pacemaker 
77059     Radiology                                         Unknown                                           77059 Mri both breasts
91110     Medicine                                          Gastroenterology                                  91110 Gi tract capsule endoscopy
82248     Pathology                                         Chemistry                                         82248 Bilirubin Direct 
31579     Surgery                                           Respiratory System                                31579 Diagnostic Laryngoscopy 
01996     Anesthesia                                        Anesthesia                                        01996 Manage Daily Drug Therapy 
82270     Pathology                                         Chemistry                                         82270 Test Feces for Blood 
29827     Surgery                                           Muscuoskeletal - Endoscopy/Arthroscopy            29827 Arthroscop rotator cuff repr
85390     Pathology                                         Hematology/Coagulation                            85390 Fibrinolysins Screen 
84075     Pathology                                         Chemistry                                         84075 Assay Alkaline Phosphatase 
94640     Medicine                                          Pulmonary                                         94640 Airway Inhalation Treatment 
99308     E&M                                               Low/Moderate Severity                             99308 Nursing fac care subseq
93000     Medicine                                          Cardiovascular, Cardiography                      93000 Electrocardiogram, Complete 
G0204     HCPCS Codes                                       Temporary Codes                                   G0204 Diagnosticmammographydigital
11401     Surgery                                           Integumentary                                     11401 Removal of Skin Lesion 
99218     E&M                                               Low/Moderate Severity                             99218 Observation Care 
R0075     HCPCS Codes                                       Diag Radiology                                    R0075 Transport port x-ray multipl
36478     Surgery                                           Cardiovascular - Arteries/Veins                   36478 Endovenous laser 1st vein
11056     Surgery                                           Integumentary                                     11056 Trim 2 to 4 Skin Lesions 
88360     Pathology                                         Surgical Pathology                                88360 Tumor immunohistochem/manual
73200     Radiology                                         Upper Extremities                                 73200 CAT Scan of Arm 
20550     Surgery                                           Muscuoskeletal - General                          20550 Inj Tendon/Ligament/Cyst 
92133     Medicine                                          Ophthalmology                                     92133 Cmptr ophth img optic nerve
76376     Radiology                                         Veins/Lymphatics                                  76376 3d render w/intrp postproces
93660     Medicine                                          Cardiovascular, EPS                               93660 Tilt Table Evaluation 
83690     Pathology                                         Chemistry                                         83690 Assay Lipase 
72156     Radiology                                         MRI                                               72156 Magnetic Image, Neck Spine 
74022     Radiology                                         Abdomen/GI/Urinary                                74022 X-Ray Exam Series, Abdomen 
87075     Pathology                                         Microbiology                                      87075 Culture Specimen, Bacteria 
72148     Radiology                                         MRI                                               72148 Magnetic Image, Lumbar Spine 
23420     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                23420 Repair of Shoulder 
93294     Medicine                                          Unknown                                           93294 Pm device interrogate remote
J3420     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J3420 Vitamin b12 injection
G0008     HCPCS Codes                                       Temporary Codes                                   G0008 Admin influenza virus vac
99220     E&M                                               Moderate/High Severity                            99220 Observation Care 
73110     Radiology                                         Upper Extremities                                 73110 X-Ray Exam of Wrist 
25265     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                25265 Repair forearm tendon/muscle
31541     Surgery                                           Respiratory System                                31541 Operative Laryngoscopy 
83718     Pathology                                         Chemistry                                         83718 Blood Lipoprotein Assay 
63047     Surgery                                           Nervous                                           63047 Removal of Spinal Lamina 
87338     Pathology                                         Microbiology                                      87338 Hpylori, stool, eia
11643     Surgery                                           Integumentary                                     11643 Removal of Skin Lesion 
82040     Pathology                                         Chemistry                                         82040 Assay Serum Albumin 
10060     Surgery                                           Integumentary                                     10060 Drainage of Skin Abscess 
55700     Surgery                                           Male Genital System                               55700 Biopsy of Prostate 
71010     Radiology                                         Head/Neck/Chest                                   71010 Chest X-Ray 
45338     Surgery                                           Digestive - Rectum/Anus                           45338 Sigmoidoscopy 
01270     Anesthesia                                        Anesthesia                                        01270 Anesth, Thigh Arteries Surg 
84450     Pathology                                         Chemistry                                         84450 Transferase (AST) (SGOT) 
83550     Pathology                                         Chemistry                                         83550 Iron Binding Test 
88356     Pathology                                         Surgical Pathology                                88356 Analysis, Nerve 
95885     Medicine                                          Neurology                                         95885 Musc tst done w/nerv tst lim
76937     Radiology                                         Diagnostic Ultrasound                             76937 Us guide, vascular access
82330     Pathology                                         Chemistry                                         82330 Assay Calcium 
84146     Pathology                                         Chemistry                                         84146 Assay for Prolactin 
82164     Pathology                                         Chemistry                                         82164 Angiotensin I Enzyme Test 
76857     Radiology                                         Diagnostic Ultrasound                             76857 ECHO Exam of Pelvis 
17312     Revenue Code                                      Revenue Code                                      17312 Mohs addl stage
74328     Radiology                                         Abdomen/GI/Urinary                                74328 X-Ray for Bile Duct Endoscopy 
84403     Pathology                                         Chemistry                                         84403 Assay Total Testosterone 
98941     Medicine                                          Other                                             98941 Chiropractic Manipulation 
84481     Pathology                                         Chemistry                                         84481 Free Assay (FT-3) 
P9603     HCPCS Codes                                       Path/Laboratory                                   P9603 One-way allow prorated miles
82105     Pathology                                         Chemistry                                         82105 Alpha-Fetoprotein, Serum 
87902     Pathology                                         Microbiology                                      87902 Genotype, dna, hepatitis C
80188     Pathology                                         Pathology                                         80188 Assay for Primidone 
93926     Medicine                                          Non-Invasive Vascular and Diagnostic              93926 Lower Extremity Study 
88312     Pathology                                         Surgical Pathology                                88312 Special Stains 
88302     Pathology                                         Surgical Pathology                                88302 Tissue Exam By Pathologist 
G0127     HCPCS Codes                                       Temporary Codes                                   G0127 Trim nail(s)
82150     Pathology                                         Chemistry                                         82150 Assay of Amylase 
88342     Pathology                                         Surgical Pathology                                88342 Immunocytochemistry 
00103     Anesthesia                                        Anesthesia                                        00103 Anesth, Blepharoplasty 
93351     Medicine                                          Unknown                                           93351 Stress tte complete
90715     Medicine                                          Immune Globulins/Immunizations/Vaccines           90715 Tdap vaccine >7 im
93018     Medicine                                          Cardiovascular, Cardiography                      93018 Cardiovascular Stress Test 
J3301     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J3301 Triamcinolone acetonide inj
99212     E&M                                               Low/Moderate Severity                             99212 Office/Outpatient Visit, Est 
38510     Surgery                                           Hemic/Lymphatic                                   38510 Biopsy/Removal, Lymph Node(s) 
84445     Pathology                                         Chemistry                                         84445 Thyroid Immunoglobulins Tsi 
99291     E&M                                               Low/Moderate Severity                             99291 Critical Care, First Hour 
88188     Pathology                                         Cytopathology/Cytogenetic                         88188 Flowcytometry/read 9-15
20605     Surgery                                           Muscuoskeletal - General                          20605 Drain/Inject Joint/Bursa 
91120     Medicine                                          Gastroenterology                                  91120 Rectal sensation test
78014     Radiology                                         Nuclear Medicine                                  78014 Thyroid imaging w/blood flow
97535     Medicine                                          Other                                             97535 Self Care Mngment Training 
G0105     HCPCS Codes                                       Temporary Codes                                   G0105 Colorectal scrn; hi risk ind
G0180     HCPCS Codes                                       Temporary Codes                                   G0180 MD certification HHA patient
87340     Pathology                                         Microbiology                                      87340 Hepatitis B Surface AG, EIA
67028     Surgery                                           Eye                                               67028 Injection Eye Drug 
85048     Pathology                                         Hematology/Coagulation                            85048 White Blood Cell (Wbc) Count 
00910     Anesthesia                                        Anesthesia                                        00910 Anesth, Bladder Surgery 
99214     E&M                                               Moderate/High Severity                            99214 Office/Outpatient Visit, Est 
99204     E&M                                               Moderate/High Severity                            99204 Office/Outpatient Visit, New 
87102     Pathology                                         Microbiology                                      87102 Fungus Isolation Culture 
72195     Radiology                                         MRI                                               72195 Mri pelvis w/o dye
17263     Surgery                                           Integumentary                                     17263 Destruction of Skin Lesions 
69100     Surgery                                           Auditory                                          69100 Biopsy of External Ear 
92960     Medicine                                          Cardiovascular, Therapeutic                       92960 Heart Electroconversion 
96118     Medicine                                          Unknown                                           96118 Neuropsych tst by psych/phys
93005     Medicine                                          Cardiovascular, Cardiography                      93005 Electrocardiogram, Tracing 
70450     Radiology                                         Head/Neck/Chest                                   70450 CAT Scan of Head Or Brain 
94070     Medicine                                          Pulmonary                                         94070 Evaluation of Wheezing 
55040     Surgery                                           Male Genital System                               55040 Removal of Hydrocele 
99309     E&M                                               Low/Moderate Severity                             99309 Nursing fac care subseq
52648     Surgery                                           Urinary                                           52648 Laser Surgery of Prostate 
82785     Pathology                                         Chemistry                                         82785 Assay, Gammaglobulin IGE+C955+C979
86800     Pathology                                         Immunology                                        86800 Thyroglobulin Antibody 
76645     Radiology                                         Diagnostic Ultrasound                             76645 ECHO Exam of Breast 
88121     Pathology                                         Cytopathology/Cytogenetic                         88121 Cytp urine 3-5 probes cmptr
01922     Anesthesia                                        Anesthesia                                        01922 Anesth, CAT or MRI Scan 
76870     Radiology                                         Diagnostic Ultrasound                             76870 ECHO Exam of Scrotum 
78315     Radiology                                         Nuclear Medicine                                  78315 Bone Imaging, 3 Phase 
93880     Medicine                                          Non-Invasive Vascular and Diagnostic              93880 Extracranial Study 
90960                                                                                                         90960 Esrd srv 4 visits p mo 20+
77300     Radiology                                         Radiation Oncology                                77300 Radiation Therapy Dose Plan 
51729     Surgery                                           Urinary                                           51729 Cystometrogram w/vp&up
85004     Pathology                                         Hematology/Coagulation                            85004 Automated diff wbc count
90962                                                                                                         90962 Esrd serv 1 visit p mo 20+
12002     Surgery                                           Integumentary                                     12002 Repair Superficial Wound(s) 
97116     Medicine                                          Other                                             97116 Gait Training Therapy 
90853     Medicine                                          Psychiatry & Biofeedback                          90853 Group Psychotherapy 
66761     Surgery                                           Eye                                               66761 Revision of Iris 
36475     Surgery                                           Cardiovascular - Arteries/Veins                   36475 Endovenous rf 1st vein
72052     Radiology                                         Spine & Pelvis                                    72052 X-Ray Exam of Neck Spine 
36556     Surgery                                           Cardiovascular - Arteries/Veins                   36556 Insert non-tunnel cv cath
73721     Radiology                                         MRI                                               73721 Magnetic Image, Joint of Leg 
74249     Radiology                                         Abdomen/GI/Urinary                                74249 Contrast X-Ray Upper GI Tract 
R0070     HCPCS Codes                                       Diag Radiology                                    R0070 Transport portable x-ray
97110     Medicine                                          Other                                             97110 Therapeutic Exercises 
00740     Anesthesia                                        Anesthesia                                        00740 Anesth, GI Visualization 
11043     Surgery                                           Integumentary                                     11043 Debride Tissue/Muscle 
70553     Radiology                                         MRI                                               70553 Magnetic Image, Brain 
72072     Radiology                                         Spine & Pelvis                                    72072 X-Ray Exam of Thoracic Spine 
52351     Surgery                                           Urinary                                           52351 Cysto
00210     Anesthesia                                        Anesthesia                                        00210 Anesth, Open Head Surgery 
87186     Pathology                                         Microbiology                                      87186 Antibiotic Sensitivity, MIC
Q2036     HCPCS Codes                                       Temporary Codes                                   Q2036 Flulaval vacc, 3 yrs & >, im
73700     Radiology                                         Lower Extremities                                 73700 CAT Scan of Leg 
90832     Medicine                                          Psychiatry & Biofeedback                          90832 Psytx pt&/family 30 minutes
92002     Medicine                                          Ophthalmology                                     92002 Eye Exam, New Patient 
70250     Radiology                                         Head/Neck/Chest                                   70250 X-Ray Exam of Skull 
77051     Radiology                                         Unknown                                           77051 Computer dx mammogram add-on
82523     Pathology                                         Chemistry                                         82523 Collagen Crosslinks 
93923     Medicine                                          Non-Invasive Vascular and Diagnostic              93923 Extremity Study 
36558     Surgery                                           Cardiovascular - Arteries/Veins                   36558 Insert tunneled cv cath
74455     Radiology                                         Abdomen/GI/Urinary                                74455 X-Ray Exam Urethra/Bladder 
J1020     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J1020 Methylprednisolone 20 MG inj
11719     Surgery                                           Integumentary                                     11719 Trim Nail(s) 
11730     Surgery                                           Integumentary                                     11730 Removal of Nail Plate 
64561     Surgery                                           Nervous                                           64561 Implant neuroelectrodes
92004     Medicine                                          Ophthalmology                                     92004 Eye Exam, New Patient 
65850     Surgery                                           Eye                                               65850 Incision of eye
99221     E&M                                               Low/Moderate Severity                             99221 Initial Hospital Care 
44140     Surgery                                           Digestive - Intestines                            44140 Partial Removal of Colon 
27447     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27447 Total Knee Replacement 
85045     Pathology                                         Hematology/Coagulation                            85045 Reticulocyte Count 
43249     Surgery                                           Digestive - Mouth/Esophagus                       43249 Esophagus Endoscopy, Dilation 
85651     Pathology                                         Hematology/Coagulation                            85651 RBC Sed Rate, Nonauto 
43239     Surgery                                           Digestive - Mouth/Esophagus                       43239 Upper Gi Endoscopy, Biopsy 
70486     Radiology                                         Head/Neck/Chest                                   70486 CAT Scan of Face, Jaw 
72131     Radiology                                         Spine & Pelvis                                    72131 CAT Scan of Lower Spine 
84439     Pathology                                         Chemistry                                         84439 Assay, Free Thyroxine 
94726     Medicine                                          Pulmonary                                         94726 Pulm funct tst plethysmograp
95886     Medicine                                          Neurology                                         95886 Musc test done w/n test comp
82746     Pathology                                         Chemistry                                         82746 Blood Folic Acid Serum 
43270                                                                                                         43270     Egd lesion ablation
72192     Radiology                                         Spine & Pelvis                                    72192 CAT Scan of Pelvis 
80069     Pathology                                         Pathology                                         80069 Renal Function Panel
93282     Medicine                                          Unknown                                           93282 Icd device progr eval 1 sngl
45337     Surgery                                           Digestive - Rectum/Anus                           45337 Sigmoidoscopy, Decompression 
G0279     HCPCS Codes                                       Temporary Codes                                   G0279     Excorp shock tx, elbow epi
35371     Surgery                                           Cardiovascular - Arteries/Veins                   35371 Rechanneling of Artery 
26437     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                26437 Realignment of Tendons 
43260     Surgery                                           Digestive - Mouth/Esophagus                       43260 Endoscopy, Bile Duct/Pancreas 
